GB801161810,001103075-0306
GB801030327,000678849-0103
GB801161811,000509465-0102
GB801161812,000572145-0103
GB801030324,000273701-0403
GB801101176,000495193-0401
GB801101174,000205216-0102
GB801181882,000317009-0103
GB801181883,000225526-0102
GB801101172,000252865-0103
GB801171854,002125205-0103
GB801171855,002368909-0101
GB801171852,000388727-0402
GB801121399,002166565-0102
GB801171858,000283203-0103
GB802950035,000227128-0504
GB801080860,002776901-0103
DB802130007,001957864-0506
GB801171851,000740081-0103
GB801161818,001829105-0306
GB801080866,000242612-0103
GB801161819,000175647-0403
GB801080865,002111177-0401
GB801080819,000641039-0403
GB801101168,000414749-0101
GB801101164,000258774-0103
GB801030395,001464288-0401
GB801030398,000490473-0103
GB801931750,000071436-0103
GB801101159,000519788-0103
GB801972225,000335708-0103
GB801931758,000231472-0103
GB801030384,000911893-0401
DB801111339,000283381-0103
GB801972230,000450735-0103
DB801121378,000309127-0103
GB801080838,000537621-0103
GB801080837,000270725-0103
GB801000720,000263926-0304
GB801080839,001255504-0103
GB801030378,000795645-0403
GB801931726,000502191-0102
GB801030375,000372734-0204
GB801030382,002075671-0101
GB801030383,000884797-0303
DB801950408,000321698-0204
GB801931733,000541647-0403
DB801110698,001303298-0403
GB802100017,000557225-0504
GB801080827,002270423-0101
GB801931735,000520633-0103
GB801931737,000254882-0103
GB801030368,000347254-0103
GB801030371,000267969-0303
GB801982294,000925709-0103
GB801080823,000276916-0403
GB801972258,000801199-0403
GB801972257,000362677-0103
GB801080820,000374627-0403
